,Unnamed: 0,year,month,day,hour,minute,weekday,change,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,dow_open,euf_open,us_6mn,ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15,ma16,ma17,ma18,ma19,ma20,ma31,labels,class
8585,8585,2018,12,12,7,15,4,0.4,0.4,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,2.450908984,1.758,2.56,-0.09999999999999964,0.0,-0.3999999999999999,-1.9,-1.8999999999999995,-3.4,-1.8,-3.2,-3.0,-2.8,-4.5,-4.7,6.100000000000002,14.600000000000001,18.8,23.5,21.2,28.0,27.5,31.7,-15.099999999999998,-1,-1
8586,8586,2018,12,12,7,16,4,0.0,0.0,0.6,0.1,1.2,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,2.450908984,1.758,2.56,0.0,-0.3999999999999999,-1.9,-1.8999999999999995,-3.4,-1.8,-3.2,-3.0,-2.8,-4.5,-4.7,6.100000000000002,14.600000000000001,18.8,23.5,21.2,28.0,27.5,31.7,32.9,-18.299999999999997,-1,-1
8590,8590,2018,12,12,7,20,4,-1.4999999999999998,-1.4999999999999998,-0.8,-0.1,-1.6,1.6,0.5,-0.4,-0.9,0.1,-0.3,0.1,-2.2,0.1,-1.4,-0.1,0.3,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.450908984,1.758,2.56,-3.4,-1.8,-3.2,-3.0,-2.8,-4.5,-4.7,6.100000000000002,14.600000000000001,18.8,23.5,21.2,28.0,27.5,31.7,32.9,33.4,25.499999999999996,20.099999999999998,15.099999999999998,-19.0,-1,-1
8606,8606,2018,12,12,7,36,4,10.400000000000002,10.400000000000002,7.6,4.3,4.4,-2.2,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,2.450908984,1.758,2.56,33.4,25.499999999999996,20.099999999999998,15.099999999999998,7.199999999999999,6.299999999999999,0.7999999999999997,-1.1,-2.8999999999999986,-15.099999999999998,-18.299999999999997,-23.9,-22.099999999999998,-20.5,-19.0,-15.799999999999997,-9.699999999999996,-10.899999999999997,-11.799999999999997,2.6000000000000014,0.10000000000000053,0,-1
8611,8611,2018,12,12,7,41,4,4.6,4.6,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,3.1,0.6,4.1,-0.2,-0.6,2.450908984,1.758,2.56,6.299999999999999,0.7999999999999997,-1.1,-2.8999999999999986,-15.099999999999998,-18.299999999999997,-23.9,-22.099999999999998,-20.5,-19.0,-15.799999999999997,-9.699999999999996,-10.899999999999997,-11.799999999999997,2.6000000000000014,5.3,6.900000000000002,1.0000000000000004,1.3000000000000014,2.6000000000000005,3.5000000000000004,0,-1
8612,8612,2018,12,12,7,42,4,-0.4,-0.4,2.8,1.1,0.8,2.5,2.2,-0.7,-3.5,-3.1,-0.9,-2.3,1.0,-11.099999999999998,-2.4,-3.1,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,3.1,0.6,4.1,-0.2,-0.6,2.6000000000000005,2.450908984,1.758,2.56,0.7999999999999997,-1.1,-2.8999999999999986,-15.099999999999998,-18.299999999999997,-23.9,-22.099999999999998,-20.5,-19.0,-15.799999999999997,-9.699999999999996,-10.899999999999997,-11.799999999999997,2.6000000000000014,5.3,6.900000000000002,1.0000000000000004,1.3000000000000014,2.6000000000000005,4.400000000000002,4.900000000000001,0,-1
8627,8627,2018,12,12,7,57,4,4.0,4.0,0.9,-2.0,0.1,5.200000000000001,-3.5,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,3.1,0.6,4.1,-0.2,-0.6,2.6000000000000005,-1.1,1.0,-0.6,-2.9,-1.1,0.0,0.5,6.5,-0.6,3.4,0.1,-3.2,-1.4999999999999998,2.0,1.4999999999999998,2.450908984,1.758,2.56,6.900000000000002,1.0000000000000004,1.3000000000000014,2.6000000000000005,4.400000000000002,-0.8999999999999998,1.9000000000000001,1.1,-0.5999999999999992,0.10000000000000053,1.4000000000000001,3.0999999999999996,2.4000000000000004,3.2,3.5000000000000004,4.900000000000001,5.500000000000002,8.400000000000002,4.600000000000001,3.5000000000000013,3.9000000000000004,0,-1
8633,8633,2018,12,12,8,3,4,0.1,0.1,3.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,3.1,0.6,4.1,-0.2,-0.6,2.6000000000000005,-1.1,1.0,-0.6,-2.9,-1.1,0.0,0.5,6.5,-0.6,3.4,0.1,-3.2,-1.4999999999999998,2.0,1.4999999999999998,-0.8,-0.1,-0.8,0.7,-1.6,-2.9,2.450908984,1.758,2.56,1.9000000000000001,1.1,-0.5999999999999992,0.10000000000000053,1.4000000000000001,3.0999999999999996,2.4000000000000004,3.2,3.5000000000000004,4.900000000000001,5.500000000000002,8.400000000000002,4.600000000000001,3.5000000000000013,-0.1999999999999993,-1.7999999999999996,-3.5999999999999996,-5.699999999999999,-5.800000000000001,-7.8999999999999995,12.800000000000002,1,1
8635,8635,2018,12,12,8,5,4,0.3,0.3,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,3.1,0.6,4.1,-0.2,-0.6,2.6000000000000005,-1.1,1.0,-0.6,-2.9,-1.1,0.0,0.5,6.5,-0.6,3.4,0.1,-3.2,-1.4999999999999998,2.0,1.4999999999999998,-0.8,-0.1,-0.8,0.7,-1.6,-2.9,2.6000000000000005,-1.9,2.450908984,1.758,2.56,-0.5999999999999992,0.10000000000000053,1.4000000000000001,3.0999999999999996,2.4000000000000004,3.2,3.5000000000000004,4.900000000000001,5.500000000000002,8.400000000000002,4.600000000000001,3.5000000000000013,-0.1999999999999993,-1.7999999999999996,-3.5999999999999996,-5.699999999999999,-5.800000000000001,-7.8999999999999995,-7.5,-8.399999999999999,9.4,1,1
8636,8636,2018,12,12,8,6,4,-1.4999999999999998,-1.4999999999999998,-1.9,1.2,-0.7,1.9,-0.1,-0.7,-0.7,1.6,1.0,-0.2,-0.2,0.5,0.1,2.2,1.3000000000000005,-0.1,2.2,-2.2,-0.1,-3.9,-1.8,-1.3000000000000005,-2.0,2.1,-0.8,0.3,1.3000000000000005,2.5,0.5,3.1,0.6,4.1,-0.2,-0.6,2.6000000000000005,-1.1,1.0,-0.6,-2.9,-1.1,0.0,0.5,6.5,-0.6,3.4,0.1,-3.2,-1.4999999999999998,2.0,1.4999999999999998,-0.8,-0.1,-0.8,0.7,-1.6,-2.9,2.6000000000000005,-1.9,-0.7,2.450908984,1.758,2.56,0.10000000000000053,1.4000000000000001,3.0999999999999996,2.4000000000000004,3.2,3.5000000000000004,4.900000000000001,5.500000000000002,8.400000000000002,4.600000000000001,3.5000000000000013,-0.1999999999999993,-1.7999999999999996,-3.5999999999999996,-5.699999999999999,-5.800000000000001,-7.8999999999999995,-7.5,-8.399999999999999,-3.6999999999999993,6.0,1,1
