,date,time,abstract,sentiment_score
0,2019-06-28,06:07:04+0000,"Last night, former Vice President Joe Biden had a moment. And it wasn’t pretty.","{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}"
1,2019-06-27,05:10:06+0000,What we learned from the first debate of the 2020 presidential race.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,2019-06-25,04:48:46+0000,Some Democrats in Congress fear the funds would be used to carry out President Trump’s aggressive immigration policies.,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5859}"
3,2019-06-24,04:01:47+0000,The White House has pushed to develop new options that could help deter Tehran without escalating into a full-out war.,"{'neg': 0.165, 'neu': 0.72, 'pos': 0.114, 'compound': -0.296}"
4,2019-06-20,05:01:10+0000,The writer Ta-Nehisi Coates testified during a House Judiciary Committee hearing about government reparations for African-Americans.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,2019-06-21,04:42:02+0000,"Mr. Trump approved military strikes against Iran in retaliation for downing an American surveillance drone, but pulled back from launching them.","{'neg': 0.077, 'neu': 0.839, 'pos': 0.084, 'compound': 0.0387}"
6,2019-06-17,04:23:15+0000,"After the leak of internal polls showing President Trump behind Joe Biden in several key states, the campaign is cutting ties with three of its five pollsters.","{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.4404}"
7,2019-06-21,15:37:32+0000,Many of Joe Biden’s views that are currently drawing criticism have been evident for years. But they are now provoking an entirely different response.,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.5719}"
8,2019-06-18,05:04:50+0000,"After Tehran said it would produce more uranium, the White House ordered another 1,000 troops to the Middle East.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,2019-06-19,07:16:08+0000,The president told a raucous Florida crowd that the election would be “a verdict on the un-American conduct of those who tried to undermine our great democracy.”,"{'neg': 0.071, 'neu': 0.744, 'pos': 0.184, 'compound': 0.5423}"
10,2019-06-15,09:24:51+0000,It’s been a busy week in American politics. Here are some of the stories you might have missed.,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}"
11,2019-06-14,04:34:55+0000,The president said taking campaign help from Russia would be no different than meeting with the queen of England. Republicans joined Democrats in condemning him.,"{'neg': 0.079, 'neu': 0.824, 'pos': 0.097, 'compound': 0.128}"
12,2019-06-28,00:50:30+0000,Tonight is part two of the first Democratic debate. Join Lisa Lerer and other Times reporters as they chat about what’s happening onstage.,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.296}"
13,2019-06-27,00:53:30+0000,Join Lisa Lerer and other Times reporters as they chat live about what’s happening in the first Democratic debate.,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}"
