,date,time,abstract,sentiment_score
28,2018-06-22,23:41:57+0000,"The Trump administration has begun granting a handful of exclusions from its steel and aluminum tariffs, but the slow, opaque process still has nearly 20,000 applications waiting.","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.1655}"
29,2018-06-20,14:54:11+0000,Conservative Christians are navigating a tricky path as they recoil at an immigration policy enacted by a president they support.,"{'neg': 0.079, 'neu': 0.788, 'pos': 0.133, 'compound': 0.2732}"
30,2018-06-19,22:40:46+0000,"The decision is a gamble that President Trump can lift Gov. Henry McMaster, one of Mr. Trump’s earliest supporters, to the Republican nomination at the last minute.","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4404}"
31,2018-06-21,00:34:39+0000,"In border states, Republican voters say that whatever sympathy they feel for children separated from parents is complicated by frustration over the flow of undocumented immigrants from Mexico.","{'neg': 0.098, 'neu': 0.823, 'pos': 0.079, 'compound': -0.1531}"
32,2018-06-20,22:19:34+0000,Accelerating growth has given the administration more leverage over trading partners. But economists warn of potential headwinds beyond this year.,"{'neg': 0.064, 'neu': 0.818, 'pos': 0.118, 'compound': 0.296}"
33,2018-06-19,23:08:38+0000,"The president, the attorney general and the secretary of homeland security have used lots of figures and interpretations of recent history to explain recent policy changes. Not all of it has been accurate.","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.34}"
34,2018-06-19,00:10:34+0000,"Mr. Trump’s anti-immigrant remarks are aimed at the conservative base of the party, especially those in red states, at a time when the party’s pragmatist wing has been diminished.","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4019}"
35,2018-06-18,09:00:07+0000,"Ms. Valdez is a Latina, a lesbian and the Democratic nominee for governor. But some activists on the left say she’s not worthy of their support, particularly because of her record on immigration.","{'neg': 0.071, 'neu': 0.85, 'pos': 0.079, 'compound': 0.0757}"
36,2018-06-17,17:10:19+0000,"An estimated 1,000 young women took part in sessions like “How Political Correctness Is Making Everyone Stupid” and displayed enthusiasm they hope to see for Republicans in the midterm elections.","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.8074}"
37,2018-06-17,12:00:04+0000,"Mr. Stewart, a Minnesota transplant who has defended the Confederacy and praised white nationalists, has seized opportunities to gain media attention, especially with harsh remarks about immigrants.","{'neg': 0.092, 'neu': 0.64, 'pos': 0.268, 'compound': 0.7203}"
38,2018-06-16,15:06:41+0000,"The newspaper that serves as the Chinese Communist Party’s mouthpiece, and other state-controlled outlets, had harsh words for the president’s tariff move.","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.4404}"
39,2018-06-15,12:15:02+0000,The tariffs on China by the Trump administration shift what has primarily been a war of words between Washington and Beijing into a full-blown trade war.,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.8316}"
40,2018-06-14,09:00:13+0000,"Protests of conservatives speakers at colleges have prompted new policies that penalize disruptions, putting academia on the front lines of the left-right culture wars.","{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.7845}"
41,2018-06-15,18:48:11+0000,"The dismissal of Rob Rogers, the longtime editorial cartoonist and a frequent critic of President Trump, was the latest controversy involving the paper’s editorial page.","{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.6908}"
42,2018-06-15,14:21:33+0000,The president’s partner in Dubai has tapped a company controlled by the government in Beijing to help build a project featuring an 18-hole course designed by Tiger Woods.,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4019}"
43,2018-06-14,00:21:26+0000,"After a series of contests in which loyalty to President Trump was a clear litmus test to voters, Republicans are reckoning with his transformation of the party.","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.8316}"
44,2018-06-12,15:08:31+0000,"Organizing for Action, the political group launched by Barack Obama, will deploy and train volunteers in more than two dozen Republican-held congressional districts.","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.128}"
45,2018-06-13,21:00:07+0000,Archie Parnell won Tuesday’s primary despite admitting to abusing the woman who is now his ex-wife in the 1970s.,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7335}"
46,2018-06-13,01:02:58+0000,"Mark Sanford, a frequent critic of the president, was ousted from his South Carolina House seat, while a firebrand Trump supporter won a Senate bid in Virginia.","{'neg': 0.073, 'neu': 0.727, 'pos': 0.201, 'compound': 0.5719}"
47,2018-06-13,03:48:44+0000,"The Times said that it was reviewing Ali Watkins’s involvement in the case, including her relationship with James Wolfe, a former Senate Intelligence Committee aide.","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4767}"
48,2018-06-13,23:25:38+0000,"The United States, Saudi Arabia and Russia see common cause in tamping down oil prices and boosting production — at least for now.","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6369}"
49,2018-06-13,09:00:09+0000,Virginia Republicans voted for Corey Stewart. South Carolina decided it was done with Mark Sanford. And Democrats spurned insurgents from the activist left.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,2018-06-05,15:09:09+0000,The billionaire industrialist has been a major patron of the arts and with his brother Charles guided the Americans for Prosperity conservative agenda.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,2018-06-10,15:26:29+0000,"The Trump administration’s corporate tax cuts are unlikely to have their promised effect on job creation, a trio of prominent economists has concluded.","{'neg': 0.081, 'neu': 0.664, 'pos': 0.255, 'compound': 0.5719}"
52,2018-06-01,23:20:23+0000,"While voters get ready for California’s primary on June 5, Silicon Valley’s tech community — which had been politically outspoken — has tried to stay largely under the radar.","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}"
53,2018-06-01,16:58:46+0000,"Coming on the heels of Martin Luther King Jr.’s death, it fueled a general sense that the normal rules and constants of politics could no longer be counted on.","{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.7269}"
54,2018-06-08,20:32:09+0000,The heart of Reagan Country may not love President Trump. But many there think state Democrats have badly overreached and want to check their power.,"{'neg': 0.217, 'neu': 0.739, 'pos': 0.044, 'compound': -0.7326}"
55,2018-06-07,17:13:36+0000,"Liz and Dick Uihlein, founders of the shipping supply giant Uline, have spent some $26 million this year alone, seeking to advance conservative causes anywhere they can.","{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.6486}"
56,2018-06-06,19:00:58+0000,"Mr. Nix’s statements to a Parliament committee contradicted some evidence presented by a former employee, Christopher Wylie.","{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}"
57,2018-06-06,23:26:17+0000,"Internal documents revealed that corporations and trade groups were often shut out of deliberations, breeding animosity between industry and a supposedly business-friendly administration.","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.4404}"
58,2018-06-06,11:00:05+0000,Trump voters can have long memories. Democratic voters in New Jersey have not fully forgiven Senator Robert Menendez. And other points from the night’s primaries.,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3401}"
59,2018-06-05,20:23:07+0000,President Trump called off a White House event set for Tuesday that was to honor the winners of the 2018 Super Bowl. But only a few members of the N.F.L. team were planning to attend in the first place. ,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8807}"
60,2018-06-06,04:19:52+0000,"The candidates, who edged out the former Los Angeles mayor Antonio Villaraigosa, are likely to battle over President Trump this fall. Democrats were in tight races in several Republican-held House districts.","{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.3818}"
61,2018-06-05,19:55:05+0000,"China offered American officials the package in trade talks last weekend, but the deal could quickly fizzle as the White House continues with its plans to impose tariffs on the country.","{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.4215}"
62,2018-06-05,15:33:34+0000,The move came as the administration suggested it wants to split the Nafta talks and negotiate separate agreements with Mexico and Canada.,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2732}"
